2022-04-16 08:51:02+00:00,"b'@zdjarum \xef\xb8\x8f\xef\xb8\x8fyuk cv pulsa di aku kak! \xf0\x9f\x92\x81\xf0\x9f\x8f\xbb\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f \n\xef\xb8\x8f\xef\xb8\x8f- indosat isat (rate 0,82-0,83)\n- smartfren sf\n- telkomsel tsel\n\nfast\xe2\x80\xa6 https://t.co/ZpdwMoLKz9'"
2022-04-16 08:49:28+00:00,b'Dear @Telkomsel bisa tolong berenti kirimin sms tawaran NSP sehari bisa beberapa kali loooh :((( semenjak downgrade\xe2\x80\xa6 https://t.co/nEirdYgFoN'
2022-04-16 08:49:20+00:00,"b'@tikitakacityx halo, sama nih aku juga belum masuk pulsanya sampe hari ini. udah dm telkomsel juga tp jawabannya di\xe2\x80\xa6 https://t.co/dwpxZdf7gU'"
2022-04-16 08:48:38+00:00,"b'@Eziosauditore Baik, Kak Ezio. Terkait informasi upgrade kartu 4G, sekarang bisa online ya Kak melalui app MyTelkom\xe2\x80\xa6 https://t.co/BFmRPbEf27'"
2022-04-16 08:48:24+00:00,"b'@arcanotation \xef\xb8\x8f\xef\xb8\x8f \xef\xb8\x8f\xef\xb8\x8f \n\xef\xb8\x8f\n\xef\xb8\x8f\nYng bagus di sini biasanya Telkomsel, sih,\ntapi itu mah provider khusus orang kaya.\n\xef\xb8\x8f\n\xef\xb8\x8f\n\xef\xb8\x8f\xef\xb8\x8f \xef\xb8\x8f\xef\xb8\x8f'"
2022-04-16 08:48:16+00:00,"b'@ibaadee Siap, Gyan akan cek DM dari Kakak. tunggu konfirmasi selanjutnya di DM ya Kak. Makasih :) -Gyan'"
2022-04-16 08:48:15+00:00,b'@Telkomsel Sudah di DM ya'
2022-04-16 08:48:13+00:00,b'RT @GamesMenfess: Gimana gamers? DGWIB Community Cup antar #KomunitasPalingGG seru banget kan? Tenang aja keseruan mereka gak cuma sampai d\xe2\x80\xa6'
2022-04-16 08:45:49+00:00,b'@smokeeroom sini aku jual nih kuota tsel telkomsel harga under aplikasi lebih murah yuk dm aja cek nomor dulu ya fa\xe2\x80\xa6 https://t.co/CgjboDqDoo'
2022-04-16 08:44:24+00:00,b'telkomsel kok suka kali sih nyedot pulsa org'
